"Question","Answer","Answer_Model1","Answer_Model2","Answer_Model3"
"what is netflix ?"," netflix is an online streaming service where people can watch movies .","Netflix, Inc. is an American over-the-top content platform and production company headquartered in Los Gatos, California.","It's a streaming service."," It's a streaming video service. It's been around since August of 1997."
"who is donald trump ?"," donald trump is the former 45th president of the united states of america .","trump, Noun: a playing card in the suit that has been declared trumps
Verb: produce a sound as if from a trumpet","He's a guy who's been in the White House for a while now."," Donald Trump is the 45th president of the United States. He was born in 1948."
"define shoe ?"," a shoe is a kind of footwear clothing that protects the foot .","shoe, Noun: footwear shaped to fit the foot (below the ankle
Verb: furnish with shoes","I think he means the shoe is a shoe."," A shoe is a type of footwear that is used to protect the foot."
"define adidas ?"," adidas is a german footwear company known for athletic shoes .","Adidas AG (German: [????adi??das]; stylized as adidas since 1949) is a German multinational corporation, founded and headquartered in Herzogenaurach, Germany, that designs and manufactures shoes, clothing and accessories. It is the largest sportswear manufacturer in Europe, and the second largest in the world, after Nike.","Adidas is a brand of shoes."," Adidas is an American multinational automobile manufacturer that was founded in 1903."
"what is dartmouth ?"," dartmouth is a ivy-league liberal arts college located in new hampshire .","dartmouth, Noun: a college in New Hampshire","A town in England."," It's a dessert made with egg whites, butter, and sugar. It's so good!"
"what are books ?"," a book is a medium for recording information in the form of writing or images typically made up of multiple pages bound together .","dartmouth, Noun: a college in New Hampshire","I think they're like a book that's a book."," Books are a collection of written works of narrative fiction, typically published as a book."
"what are glasses ?"," glasses are accessories that primarily help people see better and correct vision defects .","glasses, Noun: a brittle transparent solid with irregular atomic structure
Verb: furnish with glass","I think they're glasses."," My glasses are prescription sunglasses that I wear for vision correction."
"what is liberia ? "," liberia is a country off of the coast of west africa .","liberia, Noun: a republic in West Africa; established in 1822 by Americans as a way to free negro slaves","A country in Africa."," It's an island in the Caribbean Sea. It's a beautiful place."
"what is monrovia ? "," monrovia is the capital of liberia .","monrovia, Noun: the capital and chief port and largest city of Liberia","A place where you can get a free meal."," It's a condition in which people are unable to sleep. It can be caused by traumatic events."
"what was the revolutionary war ? "," the revolutionary war was started in 1775 by american representatives in congress over british parliamental taxes and representation .","","The war of 1812."," It was a civil war between the United States and the United Kingdom. It lasted from 1939 to 1945."
"who was thomas edison ? "," thomas edison was an american inventor who invented the first lightbulb and phonograph .","Thomas Alva Edison (February 11, 1847????? October 18, 1931) was an American inventor and businessman who has been described as America's greatest inventor. He developed many devices in fields such as electric power generation, mass communication, sound recording, and motion pictures.","He was a scientist."," Thomas Edison was an American astrophysicist and inventor. "
"who was nikola tesla ? "," nikola was a serbian-american inventor and engineer that helped design alternating current .","tesla, Noun: a unit of magnetic flux density equal to one weber per square meter","He was a guy who was a big fan of the show."," Nickolas Tesla was an American inventor and pioneer of electric cars."
"what is tesla ? "," tesla is an electric car company founded by elon musk .","tesla, Noun: a unit of magnetic flux density equal to one weber per square meter","A company that makes electric cars."," Tesla is a car manufactured by Elon Musk. He is the CEO of SpaceX."
"who were the bangles ? "," the bangles are an all-female american pop rock band formed in 1981 .","I am a chatbot, how are you?","The Bangles were the band that played at the end of the show."," They were a band from the 1980s. They were my favorite band back in the day."
"what is westport ? "," westport is the name of a town in connecticut .","Westport is the name of several communities around the world.","It's a town in the south of England."," It's a large city in the southeastern region of the U.S."
"what is the empire state building ? "," the empire state building is a 102-story skyscraper in midtown manhattan .","The Empire State Building is a 102-story Art Deco skyscraper in Midtown Manhattan in New York City, United States. It was designed by Shreve, Lamb & Harmon and built from 1930 to 1931.","It's a building in New York City."," The Empire State Building is the tallest building in the United States, located in New York City."
"define building ? "," a building is a permanent structure with a roof and walls .","The Empire State Building is a 102-story Art Deco skyscraper in Midtown Manhattan in New York City, United States. It was designed by Shreve, Lamb & Harmon and built from 1930 to 1931.","I think he means the building."," It is a building that houses are built on a high rise that is taller than the ground."
"who are weezer ? "," weezer is a critically-panned rock band formed in los angeles in 1992 .","Weezer is an American rock band formed in Los Angeles, California, in 1992. Since 2001, the band has consisted of Rivers Cuomo (lead vocals, lead guitar, keyboards), Patrick Wilson (drums, percussion, backing vocals), Brian Bell (guitar, backing vocals, keyboards), and Scott Shriner (bass, backing vocals, keyboards).","I think it's a band."," Weezer is an American singer, songwriter, and record producer."
"what is dementia ? "," dementia is a disorder that negatively affects ones memory and thinking .","Dementia is not a specific disease but is rather a general term for the impaired ability to remember, think, or make decisions that interferes with doing everyday activities.","It's a disease that affects people of all ages."," Dementia is a mental disorder characterized by decreased ability to function in daily life."
"how do I know if I have dementia ? "," dementia has a wide array of symptoms including problems with memory .","Because dementia is a general term, its symptoms can vary widely from person to person.  People with dementia have problems with memory, attention, communication, reasoning, judgment, and problem solving, and visual perception beyond typical age-related changes in vision","You don't."," I'm not sure, but I do know that it can be caused by genetic and environmental factors."
"what are the symptoms of dementia ? "," symptoms include problems with memory judgement reasoning and problemsolving","Because dementia is a general term, its symptoms can vary widely from person to person.  People with dementia have problems with memory, attention, communication, reasoning, judgment, and problem solving, and visual perception beyond typical age-related changes in vision","I'm not sure, but I think it's a symptom of dementia."," Well, it's a mental disorder that affects the brain, heart, liver, pancreas, and immune system."
"how common is dementia ? "," dementia is very common and impacts tens of millions of elderly people .","Of those at least 65 years of age, there is an estimated 5.0 million adults with dementia in 2014 and projected to be nearly 14 million by 2060.","I've had it, but it's not common."," I don't know how common it is, but I do know that it affects the brain, heart, liver, pancreas, and immune system."
"what are some risk factors with dementia ? "," increasing age is the biggest risk factor of dementia","Leading a healthy lifestyle, including regular exercise, healthy eating, and maintaining social contacts, decreases chances of developing chronic diseases and may reduce number of people with dementia.","I'm not sure, but I think it's the lack of sleep."," My grandmother had Alzheimer's. It was very hard on her."
"what are some other risk factors of dementia ? "," family with dementia and high blood pressure are other factors of dementia","Leading a healthy lifestyle, including regular exercise, healthy eating, and maintaining social contacts, decreases chances of developing chronic diseases and may reduce number of people with dementia.","I'm not sure, but I think it's the lack of sleep."," My grandmother had Alzheimer's. It was very hard on her."
"how can I treat dementia ? "," while there is no way to stop dementia the risk is reduced through regular exercise and healthy eating","I am your dementia helper.","I'm not sure, but I think you can get a prescription for it."," I'm not sure, but I do know that it can be caused by genetic and environmental factors."
"how to cure dementia ? "," there is no cure for causes such as alzheimers but medications exist that can help .","Leading a healthy lifestyle, including regular exercise, healthy eating, and maintaining social contacts, decreases chances of developing chronic diseases and may reduce number of people with dementia.","I think you mean cure."," I'm not sure, but I do know that it can be caused by genetic and environmental factors."
"what can you do with dementia ? "," I can help you with questions about dementia .","I can help you with dementia.","I'm not sure, but I think it's a good idea to try and get a few people to help you with it."," I'm not sure, but my grandmother had it and it was very difficult for her."
"do I have dementia ? "," you might have dementia if you have difficulties with memory and reasoning .","Because dementia is a general term, its symptoms can vary widely from person to person.  People with dementia have problems with memory, attention, communication, reasoning, judgment, and problem solving, and visual perception beyond typical age-related changes in vision","I think you're just a little bit of a ditz."," I'm not sure, but I do know that my grandmother had Alzheimer's."
"what are different types of dementia ? "," common types include alzheimers vascular and lewy body dementia","Common types of dementia include Alzheimer???s disease (accounting for 60 to 80 percent of cases),  vascular dementia (accounting for about 10 percent of cases), lewy body dementia, fronto-temporal dementia, and mixed dementia","I think it's a type of dementia that's not recognized by the brain."," Dementia is a mental disorder characterized by impaired cognitive functioning."
"different kinds of dementia ? "," common types include alzheimers vascular and lewy body dementia .","Common types of dementia include Alzheimer???s disease (accounting for 60 to 80 percent of cases),  vascular dementia (accounting for about 10 percent of cases), lewy body dementia, fronto-temporal dementia, and mixed dementia","I think it's a combination of both."," Dementia is a mental disorder characterized by impaired cognitive functioning."
"how do I get dementia diagnosed ? "," diagnosis is done by a trained medical professional through blood tests and tests on memory etc.","A healthcare provider can perform tests on attention, memory, problem solving and other cognitive abilities to see if there is cause for concern.  A physical exam, blood tests, and brain scans like a CT or MRI can help determine an underlying cause.","You can't."," I'm not sure, but I do know that it can be caused by genetic and environmental factors."
"do young people get dementia ? "," mostly people above the age of 65 get dementia .","The strongest known risk factor for dementia is increasing age, with most cases affecting those of 65 years and older.  Those who have parents or siblings with dementia are more likely to develop dementia themselves.  High blood pressure, high cholesterol, and smoking increase the risk of dementia if not treated properly.  Head injuries can increase the risk of dementia, especially if they are severe or occur repeatedly.","I'm not sure, but I'm sure they do."," I'm not sure, but I do know that it can happen to anyone at any age."
"is memory loss normal in aging ? "," it is not necessarily a normal part of aging and might be a sign of dementia .","The strongest known risk factor for dementia is increasing age, with most cases affecting those of 65 years and older.  Those who have parents or siblings with dementia are more likely to develop dementia themselves.  High blood pressure, high cholesterol, and smoking increase the risk of dementia if not treated properly.  Head injuries can increase the risk of dementia, especially if they are severe or occur repeatedly.","I'm not sure, but I think it's normal for people who age."," I'm not sure, but I do know that my memory has declined since I was a child."
"why do people get dementia ? "," a variety of factors and other diseases can lead to dementia .","Dementia can have multiple causes depending on the type, but they all usually cause damage to the brain. Alzheimer???s is caused by changes in the brain, while vascular dementia is caused by issues with blood flow to the brain","Because they're not old enough to remember the good old days."," I'm not sure, but I do know that it can be caused by genetic and environmental factors."
"is dementia inevitable ? "," no .","The strongest known risk factor for dementia is increasing age, with most cases affecting those of 65 years and older.  Those who have parents or siblings with dementia are more likely to develop dementia themselves.  High blood pressure, high cholesterol, and smoking increase the risk of dementia if not treated properly.  Head injuries can increase the risk of dementia, especially if they are severe or occur repeatedly.","I'm not sure, but I think it's inevitable."," I don't think so, but I'm not sure if I want to go through with it."
"what is up with dementia ? "," dementia is an impairment of memory and other cognitive capacities .","Dementia is not a specific disease but is rather a general term for the impaired ability to remember, think, or make decisions that interferes with doing everyday activities.","I think it's a symptom of dementia."," Dementia is a mental disorder characterized by decreased cognitive functioning."
"is dementia good ? "," it is not good and leads to poorer life outcomes due to cognitive decline .","The strongest known risk factor for dementia is increasing age, with most cases affecting those of 65 years and older.  Those who have parents or siblings with dementia are more likely to develop dementia themselves.  High blood pressure, high cholesterol, and smoking increase the risk of dementia if not treated properly.  Head injuries can increase the risk of dementia, especially if they are severe or occur repeatedly.","It's good, but it's not a good game."," It can be, but it can also be devastating to a person's quality of life."
